Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Tottenham,1,12,7,4,1,24,10,14,25,17.4,13.2,4.2,0.35,W W D W D,333.0,Son Heung-min - 10,Hugo Lloris,,1.45,1.0999999999999999,0.3328710836980796
Liverpool,2,12,7,4,1,27,18,9,25,25.9,17.1,8.8,0.73,D W D W D,333.0,Mohamed Salah - 10,Alisson,,2.158333333333333,1.425,0.24050846320834213
Leicester City,3,12,8,0,4,24,15,9,24,19.0,14.9,4.1,0.34,W L L W W,,Jamie Vardy - 10,Kasper Schmeichel,,1.5833333333333333,1.2416666666666667,0.2889023126084798
Southampton,4,12,7,2,3,24,17,7,23,13.3,15.1,-1.8,-0.15,W D L W W,333.0,Danny Ings - 6,Alex McCarthy,,1.1083333333333334,1.2583333333333333,0.2841271773934891
Chelsea,5,12,6,4,2,25,12,13,22,20.6,12.4,8.2,0.68,W W D W L,333.0,Timo Werner Kurt Zouma - 4,Edouard Mendy,,1.7166666666666668,1.0333333333333334,0.3558189185373419
West Ham,6,12,6,2,4,20,15,5,20,17.4,16.6,0.8,0.07,W W W L W,,Jarrod Bowen - 4,Łukasz Fabiański,,1.45,1.3833333333333335,0.250741353989858
Everton,7,12,6,2,4,21,18,3,20,18.1,15.7,2.4,0.2,L W L D W,333.0,Dominic Calvert-Lewin - 11,Jordan Pickford,,1.5083333333333335,1.3083333333333333,0.2702701314370209
Manchester Utd,8,11,6,2,3,19,17,2,20,16.2,14.6,1.6,0.15,W W W W D,,Bruno Fernandes - 7,David de Gea,,1.4727272727272727,1.3272727272727272,0.2651995474094569
Manchester City,9,11,5,4,2,17,11,6,19,18.3,10.8,7.5,0.68,D L W W D,,Riyad Mahrez - 4,Ederson,,1.6636363636363638,0.9818181818181819,0.37462933500843154
Aston Villa,10,10,6,0,4,21,13,8,18,17.0,12.8,4.2,0.42,L W L L W,,Ollie Watkins - 6,Emiliano Martínez,,1.7,1.28,0.27803730045319414
Crystal Palace,11,12,5,2,5,18,17,1,17,12.9,15.9,-3.0,-0.25,W L L W D,333.0,Wilfried Zaha - 7,Vicente Guaita,,1.075,1.325,0.2658029590889266
Newcastle Utd,12,11,5,2,4,14,16,-2,17,11.9,14.3,-2.3,-0.21,W L L W W,,Callum Wilson - 7,Karl Darlow,,1.0818181818181818,1.3,0.2725317930340126
Wolves,13,12,5,2,5,11,16,-5,17,12.0,14.2,-2.2,-0.18,L D W L L,,Raúl Jiménez - 4,Rui Patrício,,1.0,1.1833333333333333,0.30625618134802807
Leeds United,14,12,4,2,6,17,22,-5,14,20.9,22.5,-1.5,-0.13,L D W L L,,Patrick Bamford - 8,Illan Meslier,,1.7416666666666665,1.875,0.15335496684492847
Arsenal,15,12,4,1,7,10,15,-5,13,13.7,15.3,-1.6,-0.13,L D L L L,,Alexandre Lacazette - 3,Bernd Leno,,1.1416666666666666,1.2750000000000001,0.2794309682214073
Brighton,16,12,2,4,6,15,21,-6,10,16.7,12.7,4.0,0.33,D W D L L,,Neal Maupay - 4,Mathew Ryan,,1.3916666666666666,1.0583333333333333,0.34703371813667144
Burnley,17,11,2,3,6,6,18,-12,9,9.1,15.7,-6.6,-0.6,D W L D W,,Chris Wood - 2,Nick Pope,,0.8272727272727273,1.4272727272727272,0.239962473742278
Fulham,18,12,2,2,8,12,22,-10,8,14.3,19.5,-5.3,-0.44,L L W L D,,Bobby Reid - 4,Alphonse Areola,,1.1916666666666667,1.625,0.19691167520419406
West Brom,19,12,1,3,8,9,25,-16,6,8.1,22.0,-13.9,-1.16,L L W L L,,Conor Gallagher Callum Robinson - 2,Sam Johnstone,,0.6749999999999999,1.8333333333333333,0.1598797460796939
Sheffield Utd,20,12,0,1,11,5,21,-16,1,11.4,19.0,-7.6,-0.63,L L L L L,,David McGoldrick - 2,Aaron Ramsdale,,0.9500000000000001,1.5833333333333333,0.20528965757990927
