,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,17,17,1444,2,0,1,1,0,0,0.12,0.00,0.12,0.06,0.06,1.5,0.8,0.9,0.09,0.06,0.15,0.05,0.10,Matches
2,Max Aarons\Max-Aarons,eng ENG,MF,Norwich City,19,2000,20,20,1800,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,3.1,0.02,0.15,0.17,0.02,0.17,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,21,20,1673,13,3,0,0,2,0,0.70,0.16,0.86,0.70,0.86,10.0,10.0,2.2,0.54,0.12,0.65,0.54,0.65,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,16,8,646,0,1,0,0,0,0,0.00,0.14,0.14,0.00,0.14,1.5,1.5,0.6,0.21,0.08,0.29,0.21,0.29,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,10,8,783,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16,12,998,13,3,2,2,0,0,1.17,0.27,1.44,0.99,1.26,9.0,7.5,2.2,0.81,0.20,1.01,0.67,0.87,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,FW,West Ham,22,1997,7,0,121,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.04,0.04,0.08,0.04,0.08,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DFMF,Bournemouth,24,1995,17,17,1475,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,1.0,1.0,0.6,0.06,0.04,0.10,0.06,0.10,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,11,2,353,0,1,0,0,1,0,0.00,0.25,0.25,0.00,0.25,0.2,0.2,0.9,0.06,0.22,0.27,0.06,0.27,Matches
