Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,22,21,1,0,52,14,38,64,43.0,22.5,20.5,0.93,W W W W W,53101,Mohamed Salah Sadio Mané - 11,Alisson,,1.0227272727272727,0.35961283926440374
2,Manchester City,23,15,3,5,64,27,37,48,54.2,22.6,31.7,1.38,L W W W D,54391,Sergio Agüero - 15,Ederson,,0.982608695652174,0.37433330236085594
3,Leicester City,23,14,3,6,48,23,25,45,37.4,28.6,8.8,0.38,L W W L L,32052,Jamie Vardy - 17,Kasper Schmeichel,,1.2434782608695654,0.2883794126380395
4,Chelsea,23,12,3,8,39,30,9,39,40.1,22.3,17.7,0.77,L W D W L,40551,Tammy Abraham - 13,Kepa Arrizabalaga,,0.9695652173913044,0.3792478926509658
5,Manchester Utd,23,9,7,7,36,27,9,34,36.3,23.1,13.2,0.57,W W L W L,72518,Marcus Rashford - 14,David de Gea,,1.0043478260869565,0.3662834374278007
6,Wolves,23,8,10,5,34,30,4,34,30.3,22.9,7.4,0.32,W L L D W,31313,Raúl Jiménez - 10,Rui Patrício,,0.9956521739130434,0.3694823991687833
7,Sheffield Utd,23,8,9,6,25,22,3,33,27.7,26.2,1.5,0.07,D L L W D,30738,Lys Mousset John Fleck - 5,Dean Henderson,,1.1391304347826086,0.32009724626315483
8,Tottenham,23,8,7,8,36,31,5,31,29.8,29.3,0.5,0.02,W D L L D,59464,Harry Kane - 11,Paulo Gazzaniga,,1.2739130434782608,0.27973486266479475
9,Crystal Palace,23,7,9,7,22,26,-4,30,21.1,31.3,-10.2,-0.44,W D D D D,25095,Jordan Ayew - 6,Vicente Guaita,,1.3608695652173914,0.2564376906773386
10,Arsenal,23,6,11,6,30,32,-2,29,30.1,31.3,-1.2,-0.05,D L W D D,60281,Pierre-Emerick Aubameyang - 14,Bernd Leno,,1.3608695652173914,0.2564376906773386
11,Everton,23,8,5,10,26,33,-7,29,30.5,29.7,0.8,0.04,W W L W D,39175,Dominic Calvert-Lewin - 9,Jordan Pickford,,1.2913043478260868,0.2749119683027593
12,Newcastle Utd,23,8,5,10,22,34,-12,29,18.5,38.1,-19.6,-0.85,L L L D W,47587,Jonjo Shelvey - 5,Martin Dúbravka,,1.6565217391304348,0.19080148458957374
13,Southampton,23,8,4,11,29,42,-13,28,32.5,30.9,1.6,0.07,W D W W L,29771,Danny Ings - 14,Alex McCarthy,,1.3434782608695652,0.26093648314613027
14,Burnley,23,8,3,12,26,38,-12,27,24.4,28.4,-4.0,-0.17,L L L L W,20344,Chris Wood - 9,Nick Pope,,1.2347826086956522,0.29089799418896745
15,Brighton,23,6,7,10,26,31,-5,25,26.6,32.9,-6.3,-0.28,L W D L D,30370,Neal Maupay - 7,Mathew Ryan,,1.4304347826086956,0.23920489750197027
16,West Ham,22,6,5,11,26,34,-8,23,24.8,38.5,-13.7,-0.62,L L W L D,59915,Sébastien Haller - 6,Łukasz Fabiański,,1.75,0.17377394345044514
17,Watford,23,5,8,10,20,34,-14,23,28.7,36.8,-8.1,-0.35,D W W W D,20738,Troy Deeney Gerard Deulofeu - 4,Ben Foster,,1.5999999999999999,0.20189651799465544
18,Aston Villa,23,6,4,13,29,44,-15,22,25.9,45.0,-19.1,-0.83,W L W L D,41714,Jack Grealish - 7,Tom Heaton,,1.9565217391304348,0.14134921631707822
19,Bournemouth,23,5,5,13,20,36,-16,20,22.5,34.9,-12.4,-0.54,D L L L L,10517,Harry Wilson - 6,Aaron Ramsdale,,1.517391304347826,0.2192831845475751
20,Norwich City,23,4,5,14,23,45,-22,17,27.3,36.4,-9.1,-0.4,L D D L W,27019,Teemu Pukki - 10,Tim Krul,,1.5826086956521739,0.20543847211314126
