Squad,Rk,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester Utd,1,19,12,4,3,36,25,11,40,30.8,24.7,6.1,0.32,W W W D W,,Bruno Fernandes - 11,David de Gea,,1.6210526315789473,1.3,0.2725317930340126
Manchester City,2,18,11,5,2,31,13,18,38,33.3,14.3,19.0,1.05,W W W W W,,İlkay Gündoğan Raheem Sterling - 5,Ederson,,1.8499999999999999,0.7944444444444445,0.4518321830878073
Leicester City,3,19,12,2,5,35,21,14,38,28.4,21.6,6.8,0.36,D D W W W,,Jamie Vardy - 11,Kasper Schmeichel,,1.4947368421052631,1.1368421052631579,0.3208305729674436
Liverpool,4,19,9,7,3,37,22,15,34,37.1,22.3,14.8,0.78,D D L D L,600.0,Mohamed Salah - 13,Alisson,,1.9526315789473685,1.1736842105263159,0.3092255878975047
Tottenham,5,18,9,6,3,33,17,16,33,26.3,19.3,6.9,0.39,L D W D W,222.0,Harry Kane Son Heung-min - 12,Hugo Lloris,,1.4611111111111112,1.0722222222222222,0.34224712257648765
Everton,6,17,10,2,5,28,21,7,32,21.6,21.2,0.4,0.02,W W W L W,250.0,Dominic Calvert-Lewin - 11,Jordan Pickford,,1.2705882352941178,1.2470588235294118,0.28734869845082806
West Ham,7,19,9,5,5,27,22,5,32,24.7,22.5,2.2,0.12,D D W W W,200.0,Michail Antonio Tomáš Souček... - 5,Łukasz Fabiański,,1.3,1.1842105263157894,0.30598765336756445
Aston Villa,8,17,9,2,6,31,18,13,29,29.8,22.3,7.5,0.44,W D L L W,,Ollie Watkins - 7,Emiliano Martínez,,1.7529411764705882,1.311764705882353,0.2693443232320146
Chelsea,9,19,8,5,6,33,23,10,29,30.6,20.7,9.8,0.52,L D L W L,222.0,Tammy Abraham - 6,Edouard Mendy,,1.6105263157894738,1.0894736842105264,0.33639349633160487
Southampton,10,18,8,5,5,26,21,5,29,17.3,21.9,-4.6,-0.25,L D D W L,222.0,Danny Ings - 7,Alex McCarthy,,0.9611111111111111,1.2166666666666666,0.29621590947194976
Arsenal,11,19,8,3,8,23,19,4,27,25.5,21.9,3.6,0.19,W W W D W,200.0,Alexandre Lacazette - 7,Bernd Leno,,1.3421052631578947,1.1526315789473685,0.31580461014938693
Leeds United,12,18,7,2,9,30,34,-4,23,29.6,32.7,-3.1,-0.17,L W W L L,,Patrick Bamford - 10,Illan Meslier,,1.6444444444444446,1.8166666666666669,0.16256673791438073
Crystal Palace,13,19,6,5,8,22,33,-11,23,17.3,25.4,-8.0,-0.42,L D W D L,222.0,Wilfried Zaha - 8,Vicente Guaita,,0.9105263157894737,1.3368421052631578,0.26267385661607556
Wolves,14,19,6,4,9,21,29,-8,22,19.9,23.4,-3.5,-0.18,D L D L L,,Pedro Neto Raúl Jiménez - 4,Rui Patrício,,1.0473684210526315,1.2315789473684209,0.29183142724646055
Burnley,15,18,5,4,9,10,22,-12,19,16.0,26.7,-10.6,-0.59,L W L L W,,Chris Wood - 3,Nick Pope,,0.8888888888888888,1.4833333333333334,0.22688015933902364
Newcastle Utd,16,19,5,4,10,18,32,-14,19,16.3,28.0,-11.7,-0.62,D L L L L,,Callum Wilson - 8,Karl Darlow,,0.8578947368421053,1.4736842105263157,0.22907994981548765
Brighton,17,19,3,8,8,22,29,-7,17,25.2,21.2,4.1,0.22,D L D L W,222.0,Neal Maupay - 7,Mathew Ryan,,1.3263157894736841,1.1157894736842104,0.32765650057902457
Fulham,18,18,2,6,10,15,27,-12,12,19.3,27.1,-7.8,-0.43,D D D L L,200.0,Bobby Reid - 4,Alphonse Areola,,1.0722222222222222,1.5055555555555555,0.22189398514651582
West Brom,19,19,2,5,12,15,43,-28,11,12.6,35.6,-23.1,-1.21,D L L W L,,Matheus Pereira - 4,Sam Johnstone,,0.6631578947368421,1.8736842105263158,0.1535568825061596
Sheffield Utd,20,19,1,2,16,10,32,-22,5,18.4,27.2,-8.9,-0.47,L L L W L,,David McGoldrick - 5,Aaron Ramsdale,,0.9684210526315788,1.431578947368421,0.23893136420131686
